recency,frequency,monetary,tenure_months,channel_app,channel_store,channel_web,age_group_18-25,age_group_26-35,age_group_36-50,age_group_51+
282.7200016743707,4,1136.305695766217,32.352979011862516,0.0,0.0,1.0,0.0,0.0,1.0,0.0
160.75175206974706,5,1979.2517296300555,15.868117539340336,0.0,0.0,1.0,1.0,0.0,0.0,0.0
313.5296428477432,3,1728.531913831668,4.209818454795403,0.0,0.0,1.0,0.0,0.0,1.0,0.0
254.84196257760846,7,3790.0514552944733,49.00698229904592,0.0,1.0,0.0,0.0,1.0,0.0,0.0
35.28055463110443,2,1587.5036209629413,45.832667360423635,1.0,0.0,0.0,0.0,0.0,1.0,0.0
356.12653599577914,4,1732.415717419545,2.57071627070923,1.0,0.0,0.0,0.0,1.0,0.0,0.0
278.05485152448847,6,1306.0075807987475,9.430624513222256,0.0,0.0,1.0,0.0,0.0,0.0,1.0
287.1274071208112,3,673.6695586394195,45.39360529936112,0.0,0.0,1.0,0.0,0.0,1.0,0.0
47.6333622938987,5,719.1508793084898,25.936587056660418,1.0,0.0,0.0,1.0,0.0,0.0,0.0
164.94048139398643,5,471.7293019203136,12.330497309961906,0.0,0.0,1.0,1.0,0.0,0.0,0.0
135.97048082065956,7,268.3810886317563,45.71192732845487,0.0,0.0,1.0,0.0,0.0,0.0,1.0
338.34245594089106,0,1708.807152737542,1.6042841654541782,1.0,0.0,0.0,1.0,0.0,0.0,0.0
235.3669037093619,2,1357.1132343242105,6.202929620259538,1.0,0.0,0.0,0.0,1.0,0.0,0.0
300.4852272305821,3,423.34146565902375,21.726602621004638,0.0,0.0,1.0,1.0,0.0,0.0,0.0
162.40276837314852,4,1406.8239506379389,29.0174176661437,0.0,1.0,0.0,0.0,0.0,1.0,0.0
83.71489472965878,3,1375.2158925629758,31.639844210928647,0.0,0.0,1.0,0.0,1.0,0.0,0.0
202.86886247376387,4,1900.570488515733,46.38802592970122,1.0,0.0,0.0,0.0,0.0,1.0,0.0
24.22948122191982,7,806.2779262507169,54.67463338323064,1.0,0.0,0.0,0.0,0.0,1.0,0.0
302.2577466052999,2,624.6150796074115,59.21148454912316,0.0,1.0,0.0,0.0,0.0,1.0,0.0
230.9258412804316,3,653.0186017105975,52.804733432257976,1.0,0.0,0.0,0.0,1.0,0.0,0.0
276.9439373910761,5,2072.653104575587,21.47884358100781,1.0,0.0,0.0,1.0,0.0,0.0,0.0
130.0474523992721,4,2212.0624376302544,15.261298392724516,0.0,0.0,1.0,0.0,1.0,0.0,0.0
354.3340808797448,6,554.842068907513,16.672548103583786,0.0,1.0,0.0,1.0,0.0,0.0,0.0
326.09608816127997,2,1114.1175226769994,38.40838787992008,1.0,0.0,0.0,0.0,1.0,0.0,0.0
284.3315929348493,8,811.3990776914748,11.526912096603512,0.0,0.0,1.0,1.0,0.0,0.0,0.0
71.8484896581162,4,700.0027170903101,39.79713756323026,0.0,0.0,1.0,1.0,0.0,0.0,0.0
170.88644535664045,2,1514.1283433903864,12.663124139635462,1.0,0.0,0.0,0.0,0.0,1.0,0.0
16.944570746551275,3,1229.8361399729258,46.88544918955269,0.0,0.0,1.0,0.0,0.0,0.0,1.0
57.16137511258741,0,161.82814452706447,41.162932596966215,0.0,0.0,1.0,0.0,0.0,1.0,0.0
249.62981898025348,6,1300.163239656081,9.480616983591375,1.0,0.0,0.0,0.0,1.0,0.0,0.0
272.0934247504454,9,3523.8760706664293,11.563235609438355,1.0,0.0,0.0,1.0,0.0,0.0,0.0
353.1735426060524,4,1116.6208855194577,27.356803908576207,0.0,1.0,0.0,0.0,0.0,1.0,0.0
119.60043036228731,3,3387.3602527411836,24.285898172539774,1.0,0.0,0.0,0.0,1.0,0.0,0.0
135.84733299669227,10,1391.1781341638068,33.08158103023578,0.0,0.0,1.0,0.0,1.0,0.0,0.0
171.91831530439407,6,5363.739015668923,35.34463751784763,0.0,0.0,1.0,0.0,1.0,0.0,0.0
69.96757470668,4,5432.518937673619,21.69316573004297,0.0,0.0,1.0,0.0,1.0,0.0,0.0
48.29142794211168,6,5427.009623705151,21.91545988884226,1.0,0.0,0.0,1.0,0.0,0.0,0.0
174.15659314623989,7,1893.0774910381438,57.49047029697818,0.0,0.0,1.0,1.0,0.0,0.0,0.0
83.59500305452181,6,1330.4274587342982,22.708312229436114,0.0,1.0,0.0,0.0,0.0,1.0,0.0
244.81229406443376,7,406.1851007760478,52.03174954053973,0.0,0.0,1.0,0.0,0.0,0.0,1.0
160.12329846952838,9,369.0396898633211,37.59765402878776,0.0,1.0,0.0,0.0,0.0,1.0,0.0
304.09486336505284,10,3348.768815355819,33.87271652341266,0.0,0.0,1.0,1.0,0.0,0.0,0.0
255.89649712881868,3,555.5243580822573,33.0265204931209,0.0,0.0,1.0,0.0,1.0,0.0,0.0
114.70145746306295,3,3740.0498301006814,11.34780298590919,0.0,0.0,1.0,0.0,0.0,1.0,0.0
303.9425677078532,4,606.0532060390493,33.31067836684638,1.0,0.0,0.0,0.0,0.0,0.0,1.0
293.93422612883586,5,210.2554252635235,52.77122392384237,0.0,1.0,0.0,0.0,0.0,1.0,0.0
142.0421299669835,5,552.2025473854887,37.08233541833683,0.0,0.0,1.0,0.0,0.0,1.0,0.0
105.95142983060886,5,354.6694933741135,37.78841698458558,1.0,0.0,0.0,0.0,1.0,0.0,0.0
249.42836344689107,3,3507.616215398899,9.115564375900878,0.0,0.0,1.0,0.0,0.0,1.0,0.0
51.86990403378877,3,881.7696128182396,46.36972195888343,0.0,1.0,0.0,1.0,0.0,0.0,0.0
73.76658570093943,4,860.1126307503205,4.201756247833769,0.0,0.0,1.0,0.0,1.0,0.0,0.0
3.6798661893660065,7,720.0166722548491,46.75681398341129,0.0,0.0,1.0,0.0,1.0,0.0,0.0
287.4404734107784,2,1077.3257137669082,7.771416820104125,0.0,0.0,1.0,0.0,1.0,0.0,0.0
243.0057117994997,9,1378.339474360686,40.58346349814041,1.0,0.0,0.0,0.0,0.0,1.0,0.0
257.680197819986,3,698.2943314867058,14.234560957357987,1.0,0.0,0.0,1.0,0.0,0.0,0.0
285.18536729199633,7,298.44497853168775,52.30079747650311,1.0,0.0,0.0,1.0,0.0,0.0,0.0
168.04534229595575,7,311.39757884416565,19.88117339437225,1.0,0.0,0.0,0.0,1.0,0.0,0.0
208.02179532685332,5,513.4594897859137,53.941328746020965,1.0,0.0,0.0,1.0,0.0,0.0,0.0
